"Story","Title","Result","Date","Stability","Duration (s)"
"PDP-11 - Descriptive Path Selection","VIR-142.01 Verify that the selection path is shown to the customer","PENDING","2017-08-11T14:08:21.591+03:00","0.0","0.0"
"PDP-11 - Descriptive Path Selection","VIR-142.02 Verify that the customer can move through the selection path","PENDING","2017-08-11T14:08:21.652+03:00","0.0","0.0"
"PDP-11 - Descriptive Path Selection","VIR-142.03 Verify that the customer can return from the end of the path to the previous/beginning","PENDING","2017-08-11T14:08:21.702+03:00","0.0","0.0"
"PDP-11 - Descriptive Path Selection","VIR-142.04 Verify that the selected data are not cleared when customer returns","PENDING","2017-08-11T14:08:21.749+03:00","0.0","0.0"
"PDP-15 - Non-Standard Colors","VIR-145.01 Verify that state is moved to the minimum required, if customer selected non-standard color","PENDING","2017-08-11T14:08:23.124+03:00","0.0","0.0"
"PDP-1 - PDP Pricing","VIR-261.01 Verify that the subtotal is shown to the customer on the cart","PENDING","2017-08-11T14:08:23.522+03:00","0.0","0.0"
"PDP-1 - PDP Pricing","VIR-261.02 Verify that the proper subtotal is shown, that depends on","PENDING","2017-08-11T14:08:23.646+03:00","0.0","0.0"
"PDP-1 - PDP Pricing","VIR-261.03 Verify that the shopper can select any of the 4 delivery methods","PENDING","2017-08-11T14:08:23.743+03:00","0.0","0.0"
"PDP-1 - PDP Pricing","VIR-261.04 Verify that the subtotal is changed accordingly if delivery method is changed","PENDING","2017-08-11T14:08:23.923+03:00","0.0","0.0"
"PDP-1 - PDP Pricing","VIR-261.05 Verify that the subtotal is changed accordingly if contract is changed","PENDING","2017-08-11T14:08:24.046+03:00","0.0","0.0"
"PDP-4 - Product Specifications","VIR-262.01 Verify that the customer can see the product specification in a separate tab","PENDING","2017-08-11T14:08:24.676+03:00","0.0","0.0"
"PDP-4 - Product Specifications","VIR-262.02 Verify that the terms are shown when click on the tab name","PENDING","2017-08-11T14:08:24.795+03:00","0.0","0.0"
"PDP-4 - Product Specifications","VIR-262.03 Verify that the appropriate content is shown","PENDING","2017-08-11T14:08:24.970+03:00","0.0","0.0"
"PDP-5 - Tier 1 and 2 Pricing","VIR-263.01 Verify that the lowest and the highest prices are shown to the shopper for each product at the following pages","PENDING","2017-08-11T14:08:25.096+03:00","0.0","0.0"
"PDP-7 - Family Series","VIR-264.01 Verify that the following information is shown at the slot 1","PENDING","2017-08-11T14:08:25.252+03:00","0.0","0.0"
"PDP-7 - Family Series","VIR-264.02 Verify that the proper data are shown for the product","PENDING","2017-08-11T14:08:25.418+03:00","0.0","0.0"
"PDP-8 - Grade Level","VIR-265.01 Verify that the following information is shown at the slot 2","PENDING","2017-08-11T14:08:25.564+03:00","0.0","0.0"
"PDP-8 - Grade Level","VIR-265.01 Verify that the proper data are shown for the product","PENDING","2017-08-11T14:08:25.728+03:00","0.0","0.0"
"PDP-9 - View Specifications","VIR-266.01 Verify that the link to view specification is shown to the customer","PENDING","2017-08-11T14:08:25.905+03:00","0.0","0.0"
"PDP-9 - View Specifications","VIR-266.02 Verify that when customer hovers the link, the preview information message with details of the specification is shown","PENDING","2017-08-11T14:08:26.082+03:00","0.0","0.0"
"PDP-9 - View Specifications","VIR-266.03 Verify that the informational page of the specification is shown when user clicks on the link","PENDING","2017-08-11T14:08:26.239+03:00","0.0","0.0"
"PDP-10 - Configurations","VIR-267.02 Verify that the proper data are shown for the product","PENDING","2017-08-11T14:08:21.439+03:00","0.0","0.0"
"PDP-10 - Configurations","VIR-267.03 Verify that the third row content slot is shown for the product when the product has at least one of these attributes","PENDING","2017-08-11T14:08:21.536+03:00","0.0","0.0"
