"Story","Title","Result","Date","Stability","Duration (s)"
"CNT-1 - WCMS Site Maintenance","VIR-128.01 Verify that the OOTB Hybris is configured","PENDING","2017-08-11T14:08:03.395+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.01 Verify that the content admin can add a rotating theme by using template","PENDING","2017-08-11T14:08:03.502+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.02 Verify that the content admin can promo message by using template","PENDING","2017-08-11T14:08:03.638+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.03 Verify that the content admin can add installation slot by using template","PENDING","2017-08-11T14:08:03.727+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.04 Verify that the content admin can add a product recommendation component on the page template by using template","PENDING","2017-08-11T14:08:03.830+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.05 Verify that the content admin can add a quick ship component on the template page","PENDING","2017-08-11T14:08:03.901+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.06 Verify that the content admin can add a popular category on the template page","PENDING","2017-08-11T14:08:03.967+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.07 Verify that the content admin can add a product images component on the template page","PENDING","2017-08-11T14:08:04.034+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.08 Verify that the content admin can edit promo message/popular category.","PENDING","2017-08-11T14:08:04.091+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.09 Verify that the content admin can delete promo message/popular category.","PENDING","2017-08-11T14:08:04.201+03:00","0.0","0.0"
"CNT-2 - Component Maintenance","VIR-129.10 Verify that the site has a look, configured by content admin","PENDING","2017-08-11T14:08:04.354+03:00","0.0","0.0"
"CNT-3 - Banners","VIR-130.01 Verify that the content Admin can add new banner","PENDING","2017-08-11T14:08:05.540+03:00","0.0","0.0"
"CNT-3 - Banners","VIR-130.02 Verify that the content admin can edit the banner","PENDING","2017-08-11T14:08:05.730+03:00","0.0","0.0"
"CNT-3 - Banners","VIR-130.03 Verify that the content admin can delete the banner","PENDING","2017-08-11T14:08:05.870+03:00","0.0","0.0"
"CNT-3 - Banners","VIR-130.04 Verify that the site has a look, configured by content admin","PENDING","2017-08-11T14:08:06.048+03:00","0.0","0.0"
"CNT-4 - Security Compliance","VIR-131.02 Verify that the content Admin can delete terms, security and compliance","ERROR","2017-08-11T14:08:06.287+03:00","0.0","0.14"
"CNT-4 - Security Compliance","VIR-131.03 Verify that the content Admin can add terms, security and compliance","ERROR","2017-08-11T14:08:06.526+03:00","0.0","0.11"
"CNT-4 - Security Compliance","VIR-131.04 Verify that the content Admin can edit terms, security and compliance","ERROR","2017-08-11T14:08:06.728+03:00","0.0","0.21"
"CNT-4 - Security Compliance","VIR-131.05 Return changes","ERROR","2017-08-11T14:08:07.068+03:00","0.0","0.64"
"CNT-5 - Brand Management","VIR-132.01 Verify that the content admin can add restriction for the desired customizations.","PENDING","2017-08-11T14:08:08.024+03:00","0.0","0.0"
"CNT-5 - Brand Management","VIR-132.02 Verify that the content admin can edit restriction for the desired customizations.","PENDING","2017-08-11T14:08:08.591+03:00","0.0","0.0"
"CNT-5 - Brand Management","VIR-132.03 Verify that the content admin can delete restriction for the desired customizations.","PENDING","2017-08-11T14:08:09.204+03:00","0.0","0.0"
